"","interval","steps","date"
"1120",130,1.83018867924528,2012-10-08
"1129",130,1.83018867924528,2012-11-30
"1131",130,1.83018867924528,2012-11-01
"1137",130,1.83018867924528,2012-11-14
"1141",130,1.83018867924528,2012-10-01
"1148",130,1.83018867924528,2012-11-10
"1149",130,1.83018867924528,2012-11-04
"1150",130,1.83018867924528,2012-11-09
"1166",135,0.169811320754717,2012-11-01
"1169",135,0.169811320754717,2012-11-30
"1177",135,0.169811320754717,2012-10-08
"1180",135,0.169811320754717,2012-11-04
"1183",135,0.169811320754717,2012-10-01
"1201",135,0.169811320754717,2012-11-10
"1207",135,0.169811320754717,2012-11-09
"1217",135,0.169811320754717,2012-11-14
"1228",140,0.169811320754717,2012-11-04
"1230",140,0.169811320754717,2012-10-01
"1237",140,0.169811320754717,2012-11-30
"1242",140,0.169811320754717,2012-11-09
"1243",140,0.169811320754717,2012-10-08
"1246",140,0.169811320754717,2012-11-10
"1255",140,0.169811320754717,2012-11-01
"1258",140,0.169811320754717,2012-11-14
"1284",145,0.377358490566038,2012-11-04
"1285",145,0.377358490566038,2012-11-10
"1286",145,0.377358490566038,2012-10-08
"1292",145,0.377358490566038,2012-11-30
"1304",145,0.377358490566038,2012-11-14
"1305",145,0.377358490566038,2012-11-09
"1309",145,0.377358490566038,2012-11-01
"1320",145,0.377358490566038,2012-10-01
"1346",150,0.264150943396226,2012-11-10
"1347",150,0.264150943396226,2012-11-04
"1359",150,0.264150943396226,2012-11-30
"1366",150,0.264150943396226,2012-11-14
"1386",150,0.264150943396226,2012-11-01
"1388",150,0.264150943396226,2012-10-01
"1390",150,0.264150943396226,2012-10-08
"1393",150,0.264150943396226,2012-11-09
"1409",155,0,2012-11-10
"1427",155,0,2012-11-14
"1428",155,0,2012-11-09
"1432",155,0,2012-11-01
"1443",155,0,2012-10-01
"1446",155,0,2012-10-08
"1456",155,0,2012-11-04
"1458",155,0,2012-11-30
"1466",200,0,2012-11-30
"1480",200,0,2012-11-10
"1482",200,0,2012-11-09
"1485",200,0,2012-11-01
"1491",200,0,2012-11-04
"1494",200,0,2012-11-14
"1501",200,0,2012-10-08
"1507",200,0,2012-10-01
"1528",205,0,2012-11-01
"1539",205,0,2012-11-30
"1543",205,0,2012-11-14
"1546",205,0,2012-11-04
"1547",205,0,2012-10-01
"1554",205,0,2012-11-09
"1558",205,0,2012-11-10
"1569",205,0,2012-10-08
"1595",210,1.13207547169811,2012-11-30
"1599",210,1.13207547169811,2012-11-04
"1612",210,1.13207547169811,2012-11-10
"1621",210,1.13207547169811,2012-11-09
"1624",210,1.13207547169811,2012-11-14
"1625",210,1.13207547169811,2012-11-01
"1626",210,1.13207547169811,2012-10-08
"1630",210,1.13207547169811,2012-10-01
"1654",215,0,2012-11-04
"1656",215,0,2012-11-09
"1661",215,0,2012-10-08
"1666",215,0,2012-11-30
"1672",215,0,2012-11-10
"1683",215,0,2012-11-14
"1690",215,0,2012-10-01
"1702",215,0,2012-11-01
"1713",220,0,2012-11-09
"1718",220,0,2012-11-30
"1729",220,0,2012-11-10
"1731",220,0,2012-10-01
"1740",220,0,2012-11-14
"1751",220,0,2012-10-08
"1760",220,0,2012-11-01
"1769",220,0,2012-11-04
"1770",225,0.132075471698113,2012-11-09
"1774",225,0.132075471698113,2012-10-01
"1777",225,0.132075471698113,2012-11-10
"1788",225,0.132075471698113,2012-11-01
"1812",225,0.132075471698113,2012-10-08
"1822",225,0.132075471698113,2012-11-04
"1823",225,0.132075471698113,2012-11-14
"1830",225,0.132075471698113,2012-11-30
"1831",230,0,2012-11-01
"1843",230,0,2012-11-04
"1846",230,0,2012-11-10
"1869",230,0,2012-11-30
"1875",230,0,2012-10-08
"1882",230,0,2012-10-01
"1885",230,0,2012-11-14
"1888",230,0,2012-11-09
"1903",235,0.226415094339623,2012-11-01
"1909",235,0.226415094339623,2012-11-30
"1915",235,0.226415094339623,2012-11-10
"1916",235,0.226415094339623,2012-11-04
"1937",235,0.226415094339623,2012-11-09
"1939",235,0.226415094339623,2012-10-08
"1943",235,0.226415094339623,2012-11-14
"1946",235,0.226415094339623,2012-10-01
"1961",240,0,2012-11-01
"1964",240,0,2012-11-04
"1969",240,0,2012-11-30
"1973",240,0,2012-11-10
"1983",240,0,2012-10-08
"1989",240,0,2012-11-14
"1991",240,0,2012-11-09
"2000",240,0,2012-10-01
"2014",245,0,2012-11-04
"2019",245,0,2012-11-10
"2028",245,0,2012-10-08
"2036",245,0,2012-11-01
"2043",245,0,2012-11-14
"2046",245,0,2012-11-09
"2048",245,0,2012-10-01
"2059",245,0,2012-11-30
"2079",250,1.54716981132075,2012-11-10
"2082",250,1.54716981132075,2012-10-08
"2085",250,1.54716981132075,2012-11-09
"2090",250,1.54716981132075,2012-11-30
"2117",250,1.54716981132075,2012-11-01
"2120",250,1.54716981132075,2012-11-14
"2128",250,1.54716981132075,2012-11-04
"2130",250,1.54716981132075,2012-10-01
"2145",255,0.943396226415094,2012-11-09
"2158",255,0.943396226415094,2012-11-01
"2160",255,0.943396226415094,2012-11-10
"2170",255,0.943396226415094,2012-11-30
"2179",255,0.943396226415094,2012-10-01
"2187",255,0.943396226415094,2012-11-04
"2190",255,0.943396226415094,2012-10-08
"2194",255,0.943396226415094,2012-11-14
"2202",300,0,2012-11-01
"2218",300,0,2012-11-04
"2224",300,0,2012-10-01
"2230",300,0,2012-11-10
"2238",300,0,2012-11-09
"2239",300,0,2012-11-30
"2245",300,0,2012-10-08
"2254",300,0,2012-11-14
"2261",305,0,2012-11-10
"2270",305,0,2012-11-30
"2280",305,0,2012-10-01
"2284",305,0,2012-11-01
"2286",305,0,2012-10-08
"2290",305,0,2012-11-14
"2303",305,0,2012-11-09
"2315",305,0,2012-11-04
"2329",310,0,2012-11-01
"2335",310,0,2012-11-30
"2349",310,0,2012-10-01
"2353",310,0,2012-11-10
"2361",310,0,2012-11-09
"2364",310,0,2012-11-04
"2369",310,0,2012-10-08
"2371",310,0,2012-11-14
"2384",315,0,2012-11-10
"2388",315,0,2012-11-09
"2405",315,0,2012-10-01
"2409",315,0,2012-11-04
"2417",315,0,2012-11-30
"2423",315,0,2012-10-08
"2433",315,0,2012-11-01
"2439",315,0,2012-11-14
"2444",320,0.207547169811321,2012-10-01
"2450",320,0.207547169811321,2012-11-04
"2452",320,0.207547169811321,2012-11-10
"2470",320,0.207547169811321,2012-11-09
"2480",320,0.207547169811321,2012-11-14
"2487",320,0.207547169811321,2012-10-08
"2489",320,0.207547169811321,2012-11-01
"2496",320,0.207547169811321,2012-11-30
"2507",325,0.622641509433962,2012-11-10
"2523",325,0.622641509433962,2012-11-09
"2533",325,0.622641509433962,2012-10-08
"2535",325,0.622641509433962,2012-11-14
"2540",325,0.622641509433962,2012-11-30
"2542",325,0.622641509433962,2012-11-01
"2548",325,0.622641509433962,2012-11-04
"2550",325,0.622641509433962,2012-10-01
"2581",330,1.62264150943396,2012-10-01
"2584",330,1.62264150943396,2012-11-01
"2589",330,1.62264150943396,2012-11-14
"2602",330,1.62264150943396,2012-11-04
"2607",330,1.62264150943396,2012-11-10
"2616",330,1.62264150943396,2012-11-09
"2617",330,1.62264150943396,2012-10-08
"2618",330,1.62264150943396,2012-11-30
"2624",335,0.584905660377358,2012-11-01
"2643",335,0.584905660377358,2012-10-08
"2646",335,0.584905660377358,2012-11-14
"2650",335,0.584905660377358,2012-11-30
"2657",335,0.584905660377358,2012-11-04
"2666",335,0.584905660377358,2012-11-10
"2675",335,0.584905660377358,2012-10-01
"2677",335,0.584905660377358,2012-11-09
"2690",340,0.490566037735849,2012-11-30
"2698",340,0.490566037735849,2012-11-04
"2704",340,0.490566037735849,2012-11-14
"2720",340,0.490566037735849,2012-10-01
"2723",340,0.490566037735849,2012-11-10
"2724",340,0.490566037735849,2012-11-01
"2731",340,0.490566037735849,2012-11-09
"2735",340,0.490566037735849,2012-10-08
"2747",345,0.0754716981132075,2012-11-14
"2760",345,0.0754716981132075,2012-11-30
"2764",345,0.0754716981132075,2012-11-10
"2765",345,0.0754716981132075,2012-11-01
"2779",345,0.0754716981132075,2012-11-04
"2781",345,0.0754716981132075,2012-11-09
"2788",345,0.0754716981132075,2012-10-01
"2805",345,0.0754716981132075,2012-10-08
"2808",350,0,2012-11-10
"2821",350,0,2012-11-14
"2827",350,0,2012-11-30
"2831",350,0,2012-11-01
"2840",350,0,2012-11-09
"2848",350,0,2012-10-08
"2856",350,0,2012-10-01
"2860",350,0,2012-11-04
"2868",355,0,2012-11-10
"2870",355,0,2012-11-14
"2876",355,0,2012-11-01
"2886",355,0,2012-11-30
"2888",355,0,2012-11-04
"2889",355,0,2012-10-08
"2895",355,0,2012-11-09
"2898",355,0,2012-10-01
"2929",400,1.18867924528302,2012-11-30
"2932",400,1.18867924528302,2012-11-01
"2933",400,1.18867924528302,2012-10-08
"2942",400,1.18867924528302,2012-10-01
"2943",400,1.18867924528302,2012-11-04
"2973",400,1.18867924528302,2012-11-10
"2981",400,1.18867924528302,2012-11-09
"2987",400,1.18867924528302,2012-11-14
"2990",405,0.943396226415094,2012-10-08
"2999",405,0.943396226415094,2012-11-01
"3001",405,0.943396226415094,2012-11-04
"3008",405,0.943396226415094,2012-11-09
"3013",405,0.943396226415094,2012-11-10
"3018",405,0.943396226415094,2012-10-01
"3030",405,0.943396226415094,2012-11-14
"3036",405,0.943396226415094,2012-11-30
"3054",410,2.56603773584906,2012-11-01
"3055",410,2.56603773584906,2012-11-04
"3071",410,2.56603773584906,2012-11-10
"3076",410,2.56603773584906,2012-11-09
"3079",410,2.56603773584906,2012-10-08
"3084",410,2.56603773584906,2012-11-14
"3097",410,2.56603773584906,2012-11-30
"3110",410,2.56603773584906,2012-10-01
"3113",415,0,2012-10-08
"3121",415,0,2012-11-10
"3129",415,0,2012-11-14
"3132",415,0,2012-11-09
"3137",415,0,2012-11-04
"3145",415,0,2012-10-01
"3146",415,0,2012-11-30
"3157",415,0,2012-11-01
"3176",420,0.339622641509434,2012-11-09
"3177",420,0.339622641509434,2012-10-08
"3178",420,0.339622641509434,2012-11-04
"3186",420,0.339622641509434,2012-11-30
"3190",420,0.339622641509434,2012-11-10
"3192",420,0.339622641509434,2012-11-01
"3204",420,0.339622641509434,2012-10-01
"3225",420,0.339622641509434,2012-11-14
"3239",425,0.358490566037736,2012-11-04
"3240",425,0.358490566037736,2012-11-01
"3241",425,0.358490566037736,2012-10-01
"3243",425,0.358490566037736,2012-11-30
"3249",425,0.358490566037736,2012-11-10
"3270",425,0.358490566037736,2012-11-09
"3272",425,0.358490566037736,2012-10-08
"3280",425,0.358490566037736,2012-11-14
"3302",430,4.11320754716981,2012-11-10
"3303",430,4.11320754716981,2012-11-01
"3310",430,4.11320754716981,2012-11-09
"3314",430,4.11320754716981,2012-11-04
"3320",430,4.11320754716981,2012-10-01
"3326",430,4.11320754716981,2012-10-08
"3327",430,4.11320754716981,2012-11-30
"3342",430,4.11320754716981,2012-11-14
"3367",435,0.660377358490566,2012-11-30
"3371",435,0.660377358490566,2012-11-10
"3372",435,0.660377358490566,2012-11-04
"3373",435,0.660377358490566,2012-11-14
"3376",435,0.660377358490566,2012-10-01
"3378",435,0.660377358490566,2012-11-09
"3379",435,0.660377358490566,2012-11-01
"3409",435,0.660377358490566,2012-10-08
"3421",440,3.49056603773585,2012-11-04
"3423",440,3.49056603773585,2012-11-09
"3424",440,3.49056603773585,2012-11-14
"3426",440,3.49056603773585,2012-11-10
"3445",440,3.49056603773585,2012-10-01
"3449",440,3.49056603773585,2012-10-08
"3463",440,3.49056603773585,2012-11-01
"3471",440,3.49056603773585,2012-11-30
"3479",445,0.830188679245283,2012-11-04
"3490",445,0.830188679245283,2012-10-08
"3500",445,0.830188679245283,2012-11-09
"3505",445,0.830188679245283,2012-11-01
"3507",445,0.830188679245283,2012-11-10
"3517",445,0.830188679245283,2012-11-30
"3526",445,0.830188679245283,2012-10-01
"3534",445,0.830188679245283,2012-11-14
"3541",450,3.11320754716981,2012-11-30
"3556",450,3.11320754716981,2012-10-08
"3562",450,3.11320754716981,2012-11-01
"3565",450,3.11320754716981,2012-11-10
"3567",450,3.11320754716981,2012-10-01
"3575",450,3.11320754716981,2012-11-04
"3583",450,3.11320754716981,2012-11-14
"3587",450,3.11320754716981,2012-11-09
"3605",455,1.11320754716981,2012-11-10
"3609",455,1.11320754716981,2012-10-08
"3610",455,1.11320754716981,2012-11-30
"3612",455,1.11320754716981,2012-10-01
"3616",455,1.11320754716981,2012-11-01
"3624",455,1.11320754716981,2012-11-14
"3627",455,1.11320754716981,2012-11-09
"3643",455,1.11320754716981,2012-11-04
"3670",500,0,2012-11-01
"3678",500,0,2012-11-14
"3680",500,0,2012-11-30
"3683",500,0,2012-11-09
"3684",500,0,2012-11-04
"3712",500,0,2012-10-01
"3715",500,0,2012-11-10
"3716",500,0,2012-10-08
"3734",505,1.56603773584906,2012-10-01
"3743",505,1.56603773584906,2012-11-04
"3750",505,1.56603773584906,2012-11-09
"3751",505,1.56603773584906,2012-10-08
"3752",505,1.56603773584906,2012-11-30
"3753",505,1.56603773584906,2012-11-01
"3756",505,1.56603773584906,2012-11-10
"3760",505,1.56603773584906,2012-11-14
"3795",510,3,2012-11-09
"3797",510,3,2012-11-01
"3805",510,3,2012-11-04
"3807",510,3,2012-10-08
"3815",510,3,2012-11-14
"3823",510,3,2012-11-10
"3829",510,3,2012-10-01
"3832",510,3,2012-11-30
"3851",515,2.24528301886792,2012-11-10
"3857",515,2.24528301886792,2012-10-01
"3860",515,2.24528301886792,2012-10-08
"3861",515,2.24528301886792,2012-11-01
"3862",515,2.24528301886792,2012-11-04
"3873",515,2.24528301886792,2012-11-09
"3882",515,2.24528301886792,2012-11-14
"3886",515,2.24528301886792,2012-11-30
"3907",520,3.32075471698113,2012-11-01
"3914",520,3.32075471698113,2012-11-09
"3919",520,3.32075471698113,2012-10-08
"3928",520,3.32075471698113,2012-11-30
"3934",520,3.32075471698113,2012-11-04
"3936",520,3.32075471698113,2012-11-14
"3955",520,3.32075471698113,2012-11-10
"3964",520,3.32075471698113,2012-10-01
"3966",525,2.9622641509434,2012-11-01
"3969",525,2.9622641509434,2012-11-09
"3970",525,2.9622641509434,2012-11-30
"3988",525,2.9622641509434,2012-11-04
"4003",525,2.9622641509434,2012-11-10
"4006",525,2.9622641509434,2012-11-14
"4012",525,2.9622641509434,2012-10-01
"4016",525,2.9622641509434,2012-10-08
"4037",530,2.09433962264151,2012-11-04
"4041",530,2.09433962264151,2012-11-30
"4045",530,2.09433962264151,2012-11-10
"4063",530,2.09433962264151,2012-11-14
"4065",530,2.09433962264151,2012-11-09
"4066",530,2.09433962264151,2012-10-01
"4069",530,2.09433962264151,2012-11-01
"4078",530,2.09433962264151,2012-10-08
"4090",535,6.05660377358491,2012-11-30
"4093",535,6.05660377358491,2012-11-10
"4101",535,6.05660377358491,2012-10-08
"4110",535,6.05660377358491,2012-11-01
"4113",535,6.05660377358491,2012-11-04
"4118",535,6.05660377358491,2012-11-14
"4132",535,6.05660377358491,2012-11-09
"4140",535,6.05660377358491,2012-10-01
"4151",540,16.0188679245283,2012-11-04
"4154",540,16.0188679245283,2012-11-10
"4162",540,16.0188679245283,2012-11-30
"4163",540,16.0188679245283,2012-11-09
"4169",540,16.0188679245283,2012-10-08
"4185",540,16.0188679245283,2012-11-14
"4189",540,16.0188679245283,2012-10-01
"4191",540,16.0188679245283,2012-11-01
"4228",545,18.3396226415094,2012-11-09
"4235",545,18.3396226415094,2012-11-10
"4239",545,18.3396226415094,2012-11-14
"4245",545,18.3396226415094,2012-11-01
"4258",545,18.3396226415094,2012-11-30
"4259",545,18.3396226415094,2012-11-04
"4264",545,18.3396226415094,2012-10-01
"4265",545,18.3396226415094,2012-10-08
"4277",550,39.4528301886792,2012-11-09
"4280",550,39.4528301886792,2012-11-10
"4290",550,39.4528301886792,2012-11-30
"4293",550,39.4528301886792,2012-11-14
"4301",550,39.4528301886792,2012-11-01
"4305",550,39.4528301886792,2012-10-08
"4317",550,39.4528301886792,2012-11-04
"4328",550,39.4528301886792,2012-10-01
"4340",555,44.4905660377358,2012-11-30
"4342",555,44.4905660377358,2012-11-14
"4344",555,44.4905660377358,2012-11-01
"4355",555,44.4905660377358,2012-11-09
"4358",555,44.4905660377358,2012-11-04
"4369",555,44.4905660377358,2012-10-01
"4373",555,44.4905660377358,2012-11-10
"4386",555,44.4905660377358,2012-10-08
"4398",600,31.4905660377358,2012-11-01
"4413",600,31.4905660377358,2012-11-04
"4417",600,31.4905660377358,2012-11-14
"4421",600,31.4905660377358,2012-11-30
"4423",600,31.4905660377358,2012-10-01
"4427",600,31.4905660377358,2012-10-08
"4428",600,31.4905660377358,2012-11-10
"4435",600,31.4905660377358,2012-11-09
"4467",605,49.2641509433962,2012-11-04
"4468",605,49.2641509433962,2012-10-08
"4470",605,49.2641509433962,2012-11-10
"4473",605,49.2641509433962,2012-11-30
"4490",605,49.2641509433962,2012-11-09
"4502",605,49.2641509433962,2012-10-01
"4503",605,49.2641509433962,2012-11-01
"4506",605,49.2641509433962,2012-11-14
"4515",610,53.7735849056604,2012-11-04
"4518",610,53.7735849056604,2012-11-10
"4520",610,53.7735849056604,2012-11-30
"4522",610,53.7735849056604,2012-11-01
"4536",610,53.7735849056604,2012-10-08
"4555",610,53.7735849056604,2012-11-14
"4565",610,53.7735849056604,2012-10-01
"4566",610,53.7735849056604,2012-11-09
"4578",615,63.4528301886792,2012-11-10
"4586",615,63.4528301886792,2012-11-30
"4588",615,63.4528301886792,2012-11-04
"4589",615,63.4528301886792,2012-11-01
"4620",615,63.4528301886792,2012-10-08
"4624",615,63.4528301886792,2012-11-14
"4632",615,63.4528301886792,2012-10-01
"4634",615,63.4528301886792,2012-11-09
"4646",620,49.9622641509434,2012-11-10
"4656",620,49.9622641509434,2012-11-30
"4661",620,49.9622641509434,2012-11-04
"4665",620,49.9622641509434,2012-11-09
"4668",620,49.9622641509434,2012-10-01
"4684",620,49.9622641509434,2012-11-01
"4687",620,49.9622641509434,2012-11-14
"4688",620,49.9622641509434,2012-10-08
"4698",625,47.0754716981132,2012-11-30
"4708",625,47.0754716981132,2012-11-09
"4712",625,47.0754716981132,2012-11-01
"4728",625,47.0754716981132,2012-11-04
"4729",625,47.0754716981132,2012-10-08
"4746",625,47.0754716981132,2012-11-14
"4748",625,47.0754716981132,2012-10-01
"4755",625,47.0754716981132,2012-11-10
"4761",630,52.1509433962264,2012-11-01
"4773",630,52.1509433962264,2012-11-04
"4785",630,52.1509433962264,2012-11-10
"4790",630,52.1509433962264,2012-11-30
"4791",630,52.1509433962264,2012-10-01
"4805",630,52.1509433962264,2012-11-09
"4806",630,52.1509433962264,2012-10-08
"4819",630,52.1509433962264,2012-11-14
"4822",635,39.3396226415094,2012-11-30
"4825",635,39.3396226415094,2012-11-10
"4830",635,39.3396226415094,2012-11-01
"4837",635,39.3396226415094,2012-11-04
"4838",635,39.3396226415094,2012-10-08
"4858",635,39.3396226415094,2012-11-14
"4863",635,39.3396226415094,2012-10-01
"4877",635,39.3396226415094,2012-11-09
"4891",640,44.0188679245283,2012-11-04
"4896",640,44.0188679245283,2012-10-08
"4897",640,44.0188679245283,2012-11-30
"4911",640,44.0188679245283,2012-11-14
"4918",640,44.0188679245283,2012-11-01
"4921",640,44.0188679245283,2012-11-10
"4927",640,44.0188679245283,2012-11-09
"4930",640,44.0188679245283,2012-10-01
"4942",645,44.1698113207547,2012-11-30
"4945",645,44.1698113207547,2012-11-04
"4957",645,44.1698113207547,2012-10-01
"4960",645,44.1698113207547,2012-10-08
"4962",645,44.1698113207547,2012-11-10
"4990",645,44.1698113207547,2012-11-14
"4999",645,44.1698113207547,2012-11-01
"5000",645,44.1698113207547,2012-11-09
"5012",650,37.3584905660377,2012-11-30
"5014",650,37.3584905660377,2012-10-01
"5030",650,37.3584905660377,2012-11-10
"5034",650,37.3584905660377,2012-11-14
"5035",650,37.3584905660377,2012-11-09
"5046",650,37.3584905660377,2012-10-08
"5053",650,37.3584905660377,2012-11-01
"5055",650,37.3584905660377,2012-11-04
"5077",655,49.0377358490566,2012-10-01
"5080",655,49.0377358490566,2012-11-30
"5087",655,49.0377358490566,2012-10-08
"5089",655,49.0377358490566,2012-11-14
"5091",655,49.0377358490566,2012-11-09
"5096",655,49.0377358490566,2012-11-01
"5097",655,49.0377358490566,2012-11-10
"5113",655,49.0377358490566,2012-11-04
"5126",700,43.811320754717,2012-10-08
"5128",700,43.811320754717,2012-10-01
"5129",700,43.811320754717,2012-11-30
"5141",700,43.811320754717,2012-11-09
"5151",700,43.811320754717,2012-11-01
"5154",700,43.811320754717,2012-11-10
"5167",700,43.811320754717,2012-11-04
"5177",700,43.811320754717,2012-11-14
"5187",705,44.377358490566,2012-10-08
"5190",705,44.377358490566,2012-11-10
"5191",705,44.377358490566,2012-11-01
"5194",705,44.377358490566,2012-11-04
"5196",705,44.377358490566,2012-11-30
"5229",705,44.377358490566,2012-11-09
"5234",705,44.377358490566,2012-10-01
"5243",705,44.377358490566,2012-11-14
"5249",710,50.5094339622642,2012-11-04
"5252",710,50.5094339622642,2012-10-08
"5254",710,50.5094339622642,2012-11-10
"5257",710,50.5094339622642,2012-11-30
"5275",710,50.5094339622642,2012-11-01
"5287",710,50.5094339622642,2012-10-01
"5293",710,50.5094339622642,2012-11-14
"5305",710,50.5094339622642,2012-11-09
"5318",715,54.5094339622642,2012-11-10
"5325",715,54.5094339622642,2012-10-08
"5326",715,54.5094339622642,2012-11-30
"5333",715,54.5094339622642,2012-11-01
"5334",715,54.5094339622642,2012-11-14
"5337",715,54.5094339622642,2012-11-04
"5342",715,54.5094339622642,2012-10-01
"5366",715,54.5094339622642,2012-11-09
"5378",720,49.9245283018868,2012-11-14
"5387",720,49.9245283018868,2012-11-01
"5389",720,49.9245283018868,2012-10-08
"5392",720,49.9245283018868,2012-11-10
"5394",720,49.9245283018868,2012-11-09
"5395",720,49.9245283018868,2012-11-30
"5408",720,49.9245283018868,2012-10-01
"5415",720,49.9245283018868,2012-11-04
"5432",725,50.9811320754717,2012-11-30
"5436",725,50.9811320754717,2012-11-09
"5443",725,50.9811320754717,2012-10-08
